created_at,lead_1,lead_2,lead_3
2026-07-28T19:05:25.319611+07:00,0.024,0.022,-0.002
2026-07-28T19:05:25.323611+07:00,0.01,0.009,-0.001
2026-07-28T19:05:25.327611+07:00,0.015,0.013,-0.001
2026-07-28T19:05:25.331611+07:00,0.017,0.016,-0.002
2026-07-28T19:05:25.335611+07:00,-0.033,-0.03,0.003
2026-07-28T19:05:25.339611+07:00,0.02,0.018,-0.002
2026-07-28T19:05:25.343611+07:00,0.0,0.0,0.0
2026-07-28T19:05:25.347611+07:00,-0.054,-0.049,0.006
2026-07-28T19:05:25.351611+07:00,0.011,0.01,-0.001
2026-07-28T19:05:25.355611+07:00,0.021,0.019,-0.002
2026-07-28T19:05:25.359611+07:00,-0.018,-0.016,0.002
2026-07-28T19:05:25.363611+07:00,-0.034,-0.031,0.004
2026-07-28T19:05:25.367611+07:00,-0.027,-0.024,0.003
2026-07-28T19:05:25.371611+07:00,0.0,0.001,0.0
2026-07-28T19:05:25.375611+07:00,-0.01,-0.009,0.001
2026-07-28T19:05:25.379611+07:00,-0.011,-0.01,0.001
2026-07-28T19:05:25.383611+07:00,0.016,0.015,-0.001
2026-07-28T19:05:25.387611+07:00,-0.02,-0.018,0.002
2026-07-28T19:05:25.391611+07:00,0.015,0.014,-0.001
2026-07-28T19:05:25.395611+07:00,0.0,0.001,0.0
2026-07-28T19:05:25.399611+07:00,0.008,0.007,-0.0
2026-07-28T19:05:25.403611+07:00,0.002,0.002,0.0
2026-07-28T19:05:25.407611+07:00,0.017,0.016,-0.001
2026-07-28T19:05:25.411611+07:00,0.001,0.001,0.0
2026-07-28T19:05:25.415611+07:00,-0.039,-0.035,0.004
2026-07-28T19:05:25.419611+07:00,0.004,0.004,0.0
2026-07-28T19:05:25.423611+07:00,0.013,0.012,-0.001
2026-07-28T19:05:25.427611+07:00,-0.007,-0.006,0.001
2026-07-28T19:05:25.431611+07:00,0.031,0.029,-0.002
2026-07-28T19:05:25.435611+07:00,0.008,0.009,0.001
2026-07-28T19:05:25.439611+07:00,0.009,0.011,0.002
2026-07-28T19:05:25.443611+07:00,0.038,0.039,0.001
2026-07-28T19:05:25.447611+07:00,0.043,0.045,0.003
2026-07-28T19:05:25.451611+07:00,0.01,0.019,0.009
2026-07-28T19:05:25.455611+07:00,0.063,0.071,0.007
2026-07-28T19:05:25.459611+07:00,0.031,0.045,0.014
2026-07-28T19:05:25.463611+07:00,0.061,0.075,0.014
2026-07-28T19:05:25.467611+07:00,0.018,0.038,0.019
2026-07-28T19:05:25.471611+07:00,0.017,0.037,0.02
2026-07-28T19:05:25.475611+07:00,0.031,0.047,0.017
2026-07-28T19:05:25.479611+07:00,0.032,0.046,0.014
2026-07-28T19:05:25.483611+07:00,0.035,0.045,0.01
2026-07-28T19:05:25.487611+07:00,0.027,0.034,0.007
2026-07-28T19:05:25.491611+07:00,0.026,0.03,0.004
2026-07-28T19:05:25.495611+07:00,0.015,0.019,0.003
2026-07-28T19:05:25.499611+07:00,-0.01,-0.006,0.004
2026-07-28T19:05:25.503611+07:00,0.019,0.019,0.0
2026-07-28T19:05:25.507611+07:00,-0.002,-0.0,0.002
2026-07-28T19:05:25.511611+07:00,0.03,0.028,-0.002
2026-07-28T19:05:25.515611+07:00,0.007,0.007,0.0
2026-07-28T19:05:25.519611+07:00,0.015,0.015,-0.001
2026-07-28T19:05:25.523611+07:00,-0.007,-0.005,0.002
2026-07-28T19:05:25.527611+07:00,0.043,0.039,-0.003
2026-07-28T19:05:25.531611+07:00,-0.001,-0.001,0.0
2026-07-28T19:05:25.535611+07:00,-0.006,-0.009,-0.003
