created_at,lead_1,lead_2,lead_3
2026-07-28T19:50:07.772962+07:00,-0.025,-0.023,0.003
2026-07-28T19:50:07.776962+07:00,0.002,0.001,-0.0
2026-07-28T19:50:07.780962+07:00,0.0,0.0,0.0
2026-07-28T19:50:07.784962+07:00,-0.007,-0.007,0.001
2026-07-28T19:50:07.788962+07:00,-0.025,-0.023,0.003
2026-07-28T19:50:07.792962+07:00,-0.028,-0.025,0.003
2026-07-28T19:50:07.796962+07:00,-0.014,-0.013,0.002
2026-07-28T19:50:07.800962+07:00,-0.016,-0.015,0.002
2026-07-28T19:50:07.804962+07:00,-0.005,-0.005,0.001
2026-07-28T19:50:07.808962+07:00,-0.015,-0.014,0.002
2026-07-28T19:50:07.812962+07:00,0.004,0.004,-0.0
2026-07-28T19:50:07.816962+07:00,0.008,0.007,-0.001
2026-07-28T19:50:07.820962+07:00,-0.016,-0.014,0.002
2026-07-28T19:50:07.824962+07:00,0.018,0.016,-0.002
2026-07-28T19:50:07.828962+07:00,0.002,0.002,0.0
2026-07-28T19:50:07.832962+07:00,0.025,0.023,-0.002
2026-07-28T19:50:07.836962+07:00,-0.023,-0.02,0.003
2026-07-28T19:50:07.840962+07:00,0.035,0.032,-0.003
2026-07-28T19:50:07.844962+07:00,0.01,0.01,-0.001
2026-07-28T19:50:07.848962+07:00,0.023,0.021,-0.002
2026-07-28T19:50:07.852962+07:00,0.006,0.006,-0.0
2026-07-28T19:50:07.856962+07:00,-0.017,-0.015,0.002
2026-07-28T19:50:07.860962+07:00,0.002,0.003,0.0
2026-07-28T19:50:07.864962+07:00,-0.017,-0.015,0.002
2026-07-28T19:50:07.868962+07:00,0.04,0.037,-0.004
2026-07-28T19:50:07.872962+07:00,0.015,0.014,-0.001
2026-07-28T19:50:07.876962+07:00,-0.001,-0.0,0.001
2026-07-28T19:50:07.880962+07:00,-0.01,-0.008,0.002
2026-07-28T19:50:07.884962+07:00,-0.002,-0.0,0.001
2026-07-28T19:50:07.888962+07:00,-0.009,-0.007,0.003
2026-07-28T19:50:07.892962+07:00,-0.014,-0.01,0.004
2026-07-28T19:50:07.896962+07:00,-0.004,0.001,0.005
2026-07-28T19:50:07.900962+07:00,0.0,0.007,0.007
2026-07-28T19:50:07.904962+07:00,0.02,0.028,0.008
2026-07-28T19:50:07.908962+07:00,0.058,0.065,0.008
2026-07-28T19:50:07.912962+07:00,0.046,0.059,0.012
2026-07-28T19:50:07.916962+07:00,0.058,0.072,0.014
2026-07-28T19:50:07.920962+07:00,0.049,0.065,0.016
2026-07-28T19:50:07.924962+07:00,0.021,0.04,0.019
2026-07-28T19:50:07.928962+07:00,0.046,0.061,0.015
2026-07-28T19:50:07.932962+07:00,0.005,0.021,0.016
2026-07-28T19:50:07.936962+07:00,0.063,0.071,0.007
2026-07-28T19:50:07.940962+07:00,0.012,0.021,0.009
2026-07-28T19:50:07.944962+07:00,0.029,0.033,0.004
2026-07-28T19:50:07.948962+07:00,0.049,0.049,-0.0
2026-07-28T19:50:07.952962+07:00,-0.001,0.002,0.003
2026-07-28T19:50:07.956962+07:00,0.028,0.027,-0.001
2026-07-28T19:50:07.960962+07:00,0.005,0.006,0.001
2026-07-28T19:50:07.964962+07:00,0.027,0.026,-0.002
2026-07-28T19:50:07.968962+07:00,-0.007,-0.005,0.002
2026-07-28T19:50:07.972962+07:00,0.015,0.014,-0.0
2026-07-28T19:50:07.976962+07:00,-0.006,-0.004,0.002
2026-07-28T19:50:07.980962+07:00,-0.007,-0.006,0.002
2026-07-28T19:50:07.984962+07:00,0.018,0.016,-0.001
2026-07-28T19:50:07.988962+07:00,-0.038,-0.037,0.0
2026-07-28T19:50:07.992962+07:00,-0.032,-0.036,-0.004
2026-07-28T19:50:07.996962+07:00,-0.03,-0.03,0.0
2026-07-28T19:50:08.000962+07:00,0.046,0.045,-0.0
2026-07-28T19:50:08.004962+07:00,0.022,0.04,0.018
2026-07-28T19:50:08.008962+07:00,0.09,0.149,0.06
2026-07-28T19:50:08.012962+07:00,0.301,0.449,0.148
2026-07-28T19:50:08.016962+07:00,0.585,0.863,0.277
2026-07-28T19:50:08.020962+07:00,0.799,1.181,0.382
2026-07-28T19:50:08.024962+07:00,0.778,1.161,0.383
2026-07-28T19:50:08.028962+07:00,0.587,0.861,0.274
